"prompt","response"
"狼人杀游戏中平民的角色有什么特殊技能吗？","平民，也叫村民，在狼人杀游戏中是没有任何技能的，主要依靠推理分析找出狼人。作为狼人杀游戏种的全程闭眼玩家，他能获得的信息非常有限，通常需要通过预言家的查验以及场上玩家发言来进行整理得出自己的结论，然后根据自己的逻辑来寻找狼人，因此平民在游戏中是十分无趣的，但也不能随意划水，需要协助神职玩家一起放逐狼人。"
"大公鸡在狼人杀游戏中的技能是什么？如果大公鸡被狼人杀死，会发生什么情况？","大公鸡在
狼人杀
游戏中的技能是“打鸣”，大公鸡夜里如果被狼人杀死，第二天无法叫醒大家，将跳过一个白天，直接进入黑夜。大公鸡是狼人杀特殊板子动物局的神职角色之一，从技能是描述，可以看出来大公鸡是承接夜晚和白天的关键，因为其死亡会让黑夜延续一个晚上才能再恢复正常，因此大公鸡在游戏中应该尽量去隐藏身份，避免被狼人发现进而刀掉导致狼刀领先过多。而对于狼人来说，如果能抿到大公鸡身份，则可以快速刀掉，获得连刀的能力，这样狼人就基本上确认优势了。"
"狼人在狼人杀游戏中的技能是什么？如何发动？有哪些角色可以阻止其技能？狼人有哪些常用策略？","狼人的技能是“夜袭”，狼人在每天晚上可以选择袭击一名玩家，被袭击的玩家在没有被其它神职采用技能保护的前提下会直接死亡出局。其中拥有解药的女巫在夜间可以看到狼人的刀口，如果选择使用解药解救被刀玩家，则狼人“夜袭”技能失效，被刀玩家不会死亡。守卫虽然无法看到狼人的刀口，但守卫可以在狼人发动技能前守护其中一名玩家，如果狼刀正好落在被守护的玩家身份，则“夜袭”同样失效，被刀玩家不会死亡。
因此，女巫和守卫是狼人发动技能的最大阻碍，狼人要是有较强的抿神能力，应该优先“夜袭”女巫和守卫，通常在无法自救的规则下，女巫被首刀成为天胡开局。同时，狼人的技能非但可以作用在好人玩家身上，也可以作用在自己身份，当狼人选择刀自己的时候，我们称之为“自刀”，自刀是狼人常用的策略，目的是为了骗取女巫解药和做高自己的身份。"
"在狼人杀游戏中，守卫角色在发言时应该如何表达？","守卫是
狼人杀
神职角色之一，他的发言需要分起跳前和起跳后两个阶段。
1、起跳前，守卫的发言主要是为了隐藏自己的身份，避免被狼人抿出而被刀出局，故发言应该以平民的身份发言，格式为：我是好人，我认为1号玩家的发言比较做好，原因是... ...，但由于信息不多，切看看其它玩家的发言，过。
2、起跳后，守卫通常很少起跳身份，当确实需要守卫起跳的时候，发言应该以报自己守护的玩家和铜水为主，目的是为了帮助好人排狼坑，格式为：我是守卫，我依次守护了A、B、C... ...等玩家，其中B、C为铜水，故B、C大概率为好人，A玩家有比较大的狼面，建议先出A。"
"六人狼人游戏是如何配置的，各角色有什么特殊能力和胜利条件是什么？","6人狼人游戏的配置为：2个村民、1个预言家、1个女巫和2个狼人。六人狼人游戏通常为
狼人杀
新人局，相对于五人狼人杀来说多出一个女巫，可以说好人获胜更加容易。其中2个村民、预言家和女巫归属为好人阵营，而2个狼人则为狼人阵营，好人阵营获胜条件是放逐所有的狼人，狼人胜利条件是杀光所有好人。
1、村民
村民不具备任何技能，只能在白天发言和放逐投票。
2、预言家
预言家可以在夜间查验玩家的阵营身份，每晚只能查验一人。
3、女巫
女巫有解药和毒药，解药可以救任意被刀的玩家，毒药可以毒杀任意玩家，其中解药和毒药都只有一次机会并且不能在同一晚上用。
5、狼人
狼人具有在夜晚刀任意一名玩家的能力，但必须所有狼人统一刀口。"
"五人局狼人杀的角色配置应该是怎样的？","五人局狼人只需要配置2个，具体的
狼人杀
板子配置应该为2个狼人、2个平民以及1个预言家。其中狼人可以借助好人阵营缺乏信息的情况，尝试去跟票好人，当然也可以去误导好人的视野，人数较少好人很容易因为狼人跟票和误导被放逐。平民则比别的人数多的板子更加难玩，在游戏中只有放逐狼人这一条路可走，如果平民在游戏中选择弃权，那就意味着好人基本上输了。预言家是场上唯一的神职，因此好人需要预言家及时跳出身份来带领全队。
五人局通常属于新手局，新手局就很容易出现惧怕死亡的情况，无论是狼人、平民还是预言家，都应该抛弃惧怕死亡，而将游戏的乐趣真正地体现在发言的魅力之上，狼人可以通过发言误导平民获得抗推掉一个好人的机会进而获胜；而好人则应该积极参与游戏，尤其是预言家应该第一时间将夜间信息告诉其它玩家获得他们的信任进而放逐狼人获得胜利。"
"女巫在狼人杀游戏中能否报假刀口？如果可以，这样做的目的是什么？","可以，如果有守卫的
狼人杀
局，则女巫报假刀口可能是并不一定是银水；但如果没有守卫的局，女巫报的假刀口一定是报假银水，毕竟前面除了银水外，其余的狼刀都是以死亡的形式出现在所有玩家面前，是无法掺假的。
女巫报假刀口的目的无非是在有足够收益的情况下的一种玩法策略：
1、隐藏身份保护自己
通常情况下女巫起跳会报真银水以及真的刀口，这样可以很好地帮助好人排狼坑，但同时也会让狼人知道一些信息，尤其是女巫自己的身份暴露。如果女巫采用报假的刀口，即使前面的刀口都错误（有守卫局，并且出现了平安夜），但最后的银水是真的，狼人也会有可能因为思维混乱进而“确认”该女巫是平民。
2、保护其它好人玩家
这里当然指的就是女巫给外置玩家报刀口，在有守卫的局，女巫利用这种方式可能会保护多名她自己认定的好人玩家；在没有守卫的局，女巫基本上只能利用银水身份来保护其中一名玩家。"
"在狼人杀游戏中，女巫在什么情况下能看到谁中刀？","在
狼人杀
游戏中，女巫没有使用解药之前可以看到谁中刀，但如果女巫使用解药后就无法再看到谁中刀了。
1、通常女巫可以能看到狼刀次数等于女巫使用技能所在轮次的数字，比如女巫在第三晚使用技能，那么女巫就可以看到前三晚的狼刀。
2、既然这样，就会有玩家觉得女巫越晚使用解药越有利，其实不然，在标准局里，女巫通常会在首夜就使用技能，这是因为避免狼人刀中神职玩家导致好人阵营崩盘，同时也可以照顾第一个被刀的玩家游戏体验。
3、如果出现狼人自刀现象，女巫在标准局中也应该果断使用技能，因为女巫被骗解药压根就不影响好人正常的轮次，毕竟狼人是用了一次狼刀的机会换掉女巫的解药。"
"在狼人杀游戏中，狼人的攻击和女巫的毒药哪个先行？","狼刀快。根据
狼人杀
游戏的规则，狼刀在先。具体点就是在游戏中， 法官在入夜后会先以”狼人请睁眼“优先于”女巫请睁眼“的方式先唤醒狼人，狼人刀人后，才是女巫睁眼使用技能。在游戏最后只剩下一个狼人和一个女巫，那么狼人刀掉女巫后，女巫也使用毒药毒杀了狼人，最终游戏会以狼人获胜结束。这就是所谓的狼刀领先原则，通常熟练的法官会在最后一局出现一狼一好人的情况下直接宣判狼人阵营获胜。"
"女巫在狼人杀游戏中的技能是什么？每一局游戏开始时，女巫有哪些道具？女巫的解药和毒药如何使用？女巫的解药和毒药能否在同一夜晚使用？","女巫每一局都有解药
。
狼人杀
游戏中女巫技能为“解药毒药”，即女巫在每一局游戏开始都拥有一瓶解药和毒药。但女巫的解药是否能自救就得看规则而定了，并且能不能将所有的药剂用掉也看女巫的配置而定。
1、女巫的解药使用方法
在允许女巫自救的对局中，出现女巫自己被首刀可以自救。无论规则是否允许女巫自救，在标准局中我们都提倡女巫首夜使用掉解药，避免首夜有强神被刀，同时也能做好起跳带队的准备。
2、女巫毒药的使用方法
女巫的毒药通常又两种作用，一种是携毒起跳，利用毒药的强大威胁场上玩家听你的话，协助你放逐目标狼人；另外一种就是直接毒杀狼人。毒药具有盲目行，切忌要谨慎使用。
3、女巫的解药和毒药不能同一夜晚使用。"
"在狼人杀游戏中，女巫在什么情况下不能使用毒药？","女巫的毒药在
狼人杀
游戏中是一种主动技能，游戏规则规定女巫的毒药和解药在同一晚上只能使用一个。那么女巫不能用毒的情况只有两种，分别是白天阶段以及用了解药的当晚。
1、白天阶段
女巫的技能只能在夜间使用，根据游戏规则，白天是无法发动毒药的，同理解药也无法在白天使用。这里所说的使用是指的真正的用掉毒药，而非有些玩家认为的携毒威胁。
2、用了解药的当晚
这个非常好理解，在同一个晚上，女巫的毒药和解药只能选择其中之一使用，既然使用了解药，那么自然无法再使用毒药了。在十二人标准局中，女巫通常会在首夜使用解药，自然女巫救无法在首夜使用解药。
拓展：女巫的解药和毒药都与守卫的技能有冲突，只要女巫的技能与守卫的技能作用在同一名玩家身上，这名玩家必死无疑。"
"在狼人杀游戏中，为什么通常会优先出掉后跳的猎人？","在
狼人杀
游戏中，面对两个对跳的猎人，通常我们会优先出掉后面起跳的猎人，原因就是后跳的猎人穿衣服的可能性比前面跳猎人的玩家更大，并且将后置位起跳的猎人出掉可以明确两个玩家的各自身份，可以说算得上是好人阵营的一种比较稳妥的做法。
1、当然猎人后跳先出并不是铁逻辑，我们在实战中还是更多地观察两个玩家的实际发言和场上情形再来做出谁的决定。比如某一位玩家在今天末置位起跳猎人，那么由于后续无玩法则无法与其对跳，自然猎人的身份就不难么确定了，这种情况如果到了第二天该玩家依旧没有脱衣服，出现第二张前置位对跳他，那么这名第二轮起跳的猎人大概率会是真的猎人。
3、狼人不会选择在狼刀落后的情况下对跳猎人的，毕竟猎人具备出局反杀能力，如果在狼刀落后选择一狼换一猎人是十分不明智的。因此狼人通常会选择在狼刀领先的情况下跳猎人搏机会刀神才会选择冒风险与猎人一换一，再接着狼队友在夜间刀一神获得胜利。
综述，猎人后跳先出并不是一定的，猎人对跳放逐要根据两位玩家各自的发言以及场上的情形来决定，通常狼刀绝对领先的情况下，优先跳的猎人有比较大的概率为狼人，应该考虑出掉；如果不是以上情况，则一定要通过双方的发言，由发言好坏来决定出谁。后跳先出是在无法分辨真假猎人的情况下的最稳妥选择。"
"在狼人杀游戏中，女巫应该如何避免被狼人杀掉？","女巫在
狼人杀
游戏只有两种情况需要躲刀，一种是双药在手；另外一种只有单毒但狼刀在先的情况。接下来我们针对这两种情况单毒说说女巫该如何躲刀。
1、双药在手
这种情况说白了就是要隐藏身份，最简单的操作就是将自己当成一张平民牌来玩，狼人想要从这么多平民牌中抿出你的身份可不容易。
2、单毒在手，但狼刀在先
这种情况可以报假银水来躲刀，我们在游戏中都明白如果狼人自刀那么真银水就是狼人，而假银水也有可能是好人，故报真假银水其实区别不是很大。最关键的一点假银水可以在这种情况下助女巫顺利躲刀。这里面有比较高的要求就是女巫需要有一定的民人水平，只要抿错身份的概率低于狼人自刀的概率即可使用。
综述，以上便是女巫躲刀的技巧，在有双药的情况下使用民身份躲刀，而在单毒在手狼刀在先并且自己配置足够高的时候可以报假银水来躲刀。"
"猎人在狼人杀游戏中什么情况下需要跳身份？","猎人需不需要跳身份取决于游戏局势，在标准局中猎人绝大多数情况下都应该起跳身份。通常猎人起跳身份会有两种情况，一种是在
狼人杀
对局中后期起跳带队，另外一种是面对有狼人穿自己衣服的时候。
1、起跳带队
在标准局中，猎人带队的次序要弱于预言家和女巫，当然有的时候由于女巫隐藏身份，那么猎人就需要顶替女巫提前起跳带队。无论是正常轮次起跳带队还是提前起跳带队，利用的都是自身的技能可以压制场上任何一名玩家的能力，让场上所有玩家表水，并号令所有玩家听从你的命令放逐你认为的狼人。如果有反对你的，又给不出合理的理由，你可以直接将其标狼打，并在自己出局的时候果断开枪带走。
2、被狼人穿衣服
当场上出现有狼人悍跳自己的时候，作为猎人必须起跳拍打他（除非刀神局并且好人劣势），直接进入猎人轮次。好人可以选择其中一个放逐，如果放逐的是狼人，则猎人非但不出局还能继续后续使用技能；如果是猎人被放逐，则猎人开枪带走悍跳自己的狼人。
3、其它情况
其它情况并不如前面两种出现的概率高，比如被查杀、被女巫毒药威胁，这个时候猎人也是有必要起跳身份来避免被打成抗推位或者被女巫毒杀。尤其是女巫的毒药，一旦被毒，猎人是无法再释放自己的技能的。"
"在狼人杀游戏中，女巫应如何合理使用盲毒技巧？","女巫的毒药本身具有非常大的盲目性，可以说女巫任何一晚使用毒药都具备非常大的盲目行，都可以称为盲毒。女巫盲毒需要根据情况而定，通常在无法自救的前提下被首刀需要盲毒来自证身份，而在女巫可以自救的情况基本很少会去进行盲毒操作，毕竟盲毒带走神职的概率极高。
1、女巫首夜无法自救被首刀
当在
狼人杀
标准局中，女巫如果规定无法自救，那么被首刀，女巫是一定要去盲毒，虽然不知道场上任何一名玩家的身份。原因很简单，就是女巫毒中强神的概率仅仅为3/11，不到总数的三分之一，而追回轮次的概率高达4/11。女巫在这种情况下盲毒大概率可以追回轮次，就算没有追回轮次也能强势证实自己女巫的身份，让狼人后期无法穿自己的衣服。退一步说，如果运气差盲毒到神职，那么也就与闷掉双药的女巫结局没有什么两样，快速进入下一轮不为是一件好事。
2、女巫可以自救
如果女巫可以自救就不会在首轮出局，那么我们无论首夜还是后续的都只需要考虑毒药的正常使用，虽然此后女巫使用毒药依旧可以称之为盲毒，但通过场上玩家的发言，女巫相对来说会有一定的“明确性”。在标准局中，非常推荐女巫首夜使用解药，而不去使用毒药，这是从收益角度以及考虑在场玩家体验最好的方式。女巫后续可以携带毒药起跳身份，利用毒药强大杀伤力威胁其它玩家听她号令放逐玩家，如果要使用毒药一定要看准疑似狼人再下手。
3、面对狼女巫（即狼人悍跳女巫）
当场上出现狼女巫的时候，这个时候如果好人是优势，那么果断起跳对拍她，并在夜里让其吃毒。如果此刻狼刀领先，尤其是神职角色较少的情况，则应该隐藏身份直接夜里毒死狼女巫就行。"
"狼人杀游戏中，女巫在首夜被刀中时，是否应该使用毒药？","回答在前面，在
狼人杀
游戏中，女巫在特定的场合下是可以首夜开毒的，比如在预女猎白的对局中，女巫在无法自救的规则下被首刀，无论是从轮次角度、概率角度以及现实情况来考虑，都是幼开毒药的。
1、轮次方面
轮次是在狼人杀游戏中探讨的比较多的一个概念，虽然有部分玩家对这个概念非常模糊，但确实是十分重要的。在不考虑神职玩家技能的前提下，好人每天都能准确推出狼人，而狼人则每天晚上都能准确刀掉好人，那么好人是无法获胜的；同理，如果再赋予女巫一个解药，并且女巫在首轮使用，重复上面的过程，则狼人无法获胜，这便是轮次。
回到我们的问题，假设女巫没有使用双药，问题倾向于第一种情况，即狼刀领先。如果狼队在分析正确的前提下，好人无论如何都没有获胜的条件。这就是为什么第一夜刀中女巫对于狼人阵营来说是头奖。
女巫第一夜中刀无论是否使用毒药，都很难做到拍出其他身份离开。而且预言家大多数情况(网杀为100%)都要在第一天亮明身份，这样狼队的前两刀基本上是100%正确的。许多网杀玩家面对这样的情况，在预言家没有检测到查杀的情况下，第二天还选择了外置刀人，甚至自刀混淆或拉低了真预身份，实际上是对轮次理解不够的体现。再反观好人方，即使女巫不用毒药，轮次落后也不会改变，而且第一天的推人信息也不足。
2、概率方面
女巫在首夜开毒只有3/11的概率导致轮次落后，而有4/11的概率追会轮次，其中还有4/11的概率轮次不变，因此从概率上面来看，女巫开毒导致轮次落后的概率极低，因此需要撒毒。
3、现实方面
女巫首夜开毒从收益角度来说是最好的选择，虽然会有不幸的情况发生，但那个概率低于收益最好的情况。同时，女巫被首刀无法自救，就算女巫错毒神职，也是加快一局大概率失败的游戏进程，好进入下一局。"
"狼人杀游戏中的边角位是什么意思？为什么说边角位容易出狼？","首先我们必须明确一点，边角位的概念是来源于
狼人杀
网杀，而非狼人杀游戏。在狼人杀面杀中，大家完全可以围成一个圈，那么就不会有边角位的概念；而在狼人杀网杀APP中，因为软件对玩家布局的设定导致会出现四个角，而这四个角就是我们常常听到的边角位，即1号位、6号位、7号位以及12号位。
拓展：边角位为什么容易出狼？
这涉及到概率学，狼人杀总共有12个位置，而边角位有4个，去了三分之一的位置，所以看着就觉得狼人杀边角很容易出狼。因此，并非狼人杀重视边角位，而是网杀重视边角位。实际上是概率学嘛，边角位四张牌，四张牌出张狼的几率相当大，别人比较喜欢说什么边角位开狼什么的，但有时边角位也不一定开狼，其实有时说这个，如果狼人真的在边角位，可能会有点心慌什么的。
对于边角位容易出狼，个人认为是一种”幻觉“，毕竟随便拿出4个位置出狼的概率都有1/3，并不是只有边角位这样，在游戏中因为大家吹捧，那么我们自然可以拿来使用，当发言遇到困难的时候，就可以拿出这条默许的概率来说事。"
"女巫在狼人杀游戏中解药用完后，还能看到谁被狼人刀杀吗？如果可以，那么可以看到多少次？如何最大化利用女巫的解药？","女巫解药用完是无法再继续在夜间看到狼刀的，但在整个
狼人杀
游戏过程中，法官依旧会假设女巫解药没有用掉继续让女巫睁眼，并咨询女巫是否需要用解药。因此，在这个过程中，虽然女巫已经不具备看到狼刀的能力，但其它玩家无法获知女巫是否还能继续看到刀口。
女巫在夜间可以看到狼刀的次数为使用解药轮次数，比如女巫在第3轮夜晚使用解药，那么女巫可以考到第1、2、3夜的狼刀信息，其中第3夜被救的玩家为银水玩家。当女巫起跳后需要将夜间的狼刀信息报出来让场上的好人知晓协助排狼坑，其中第1，2，3夜的玩家为好人概率极高，但也有小概率是狼人自刀形成的刀口。
拓展：女巫的解药要怎么用？
在标准局中尤其是有守卫局的游戏，女巫需要第一夜使用解药，这么要求女巫使用解药并非规则规定，而是从好人利益最大化角度考虑。如果女巫不首夜不使用解药，狼人就有很大的概率刀到强神玩家，比如猎人、预言家、守卫等等；而就算狼人自刀，导致女巫的解药被骗，狼人是以牺牲狼队领先的优势来骗药，狼队轮次-1，女巫的解药让好人轮次也-1，正好相抵，并不存在轮次落后的情况。
而在守卫局，更是如此，因为女巫的解药喝守卫的技能冲突，为了能让首轮被刀的神职能存活必须女巫使用解药或者守卫使用守护技能，其中守卫的技能不具备指向性，为了稳妥，也为了后续女巫能随时起跳以及守卫守人自由，理应女巫来使用解药。"
"狼人杀游戏中，守卫可以守护自己吗？如果可以，自守有什么作用？","在
狼人杀
游戏中，守卫是可以守自己的。我们通过守卫的技能描述“每晚可守护一名玩家（包括自己），当晚被守护的玩家不会被狼人杀死，但不能持续守护同一名玩家。”中就可以得出守卫自守是合理的结论。
我们从技能描述中可以看出守卫虽然可以守护任意一名玩家，但却不能连续守护同一名玩家，以至于守卫对于守人顺序应该有所安排。否则很容易出现当一名玩家需要守卫守护的时候，守卫会因为前一晚已经守护了该玩家而无法继续去守护他，进而导致他被刀出局。其中守卫的自守可以在其中起到调节顺序的作用，如果守卫夜间通过抿狼刀，发现重要角色比如女巫和预言家在当前夜晚极不可能被狼人刀的时候，可以通过空守或者自守来调节，将守护预言家和女巫的轮此留到后续的夜晚。
除了上面说的调节守护顺序外，守卫自守另外一个非常重要的作用就是保护自己。当自己和预言家或者其它甚至都已经暴露身份后，同时预言家或者女巫在白天明言了要求守护他们，这个时候狼人是会由极大可能去赌心态而转刀守卫的，这个时候守卫可以选择自守来完成自救。
总结：守卫在狼人杀游戏中是可以自守的，守卫自守的作用主要有调节守护顺序以及自救。"
"在狼人杀游戏中，如果出现对跳女巫，真女巫应该如何自证身份？","在
狼人杀
游戏中，
出现对跳女巫在有守卫以及唯一预言家还存活的对局中自证身份是相对比较简单的；但如果在没有守卫的对局中，出现对跳女巫，真女巫想要自证身份的难度其实是挺大的，因此建议在有狼人起跳女巫的时候，真女巫可以选择在夜间悄悄毒死他，然后第二天再起跳说明情况。
1、在没有守卫的局里，女巫想要自证身份其实是比较困难的。女巫使用解药起来报银水，可以从侧面以平安夜来论证，但如果会玩的狼人悍跳你，自然早就报过银水了。当女巫想以毒药来证明自己，悍跳你的狼人其实就更加简单了，他也完全可以说夜间他毒了谁，毕竟他是全程睁眼的玩家；甚至狼女巫可以在你使用毒药的时候选择空刀，造成真女巫说夜晚毒人缺没有毒，那么真女巫的身份自然会被人怀疑。
2、在有守卫的对局里面，女巫自证身份就相对来说比较容易了。两个对跳女巫的，让守卫选择其中一个进行守护，然后都开毒，如果出现被守护的玩家未死，则被守护的玩家为真女巫；如果出现被守护的玩家死亡，则被守护的玩家为假女巫；当然如果出现守护的外置位双死，自然被守护的玩家是真女巫。
3、如果场上只有唯一确定的预言家，那么可以请求预言家在你们当中选择一人进行查验，预言家查验出来的身份即为真实女巫身份。"
"狼人在悍跳女巫时，应该如何进行发言和策略操作？","悍跳是狼人必备的技能，我们常常看到的是狼人悍跳预言家，当然在特殊情况下狼人也可以选择悍跳女巫。那么在狼人悍跳女巫的时候怎么发言呢？
其实无论何种时候何种方式起跳，都应该去模仿女巫的发言方式。
1、报刀口
结合轮次以及用解药来报出夜间狼人的刀口，比如女巫首夜使用了解药，那么就只能报一个刀口，如果第三夜才用解药，就报出3天的狼刀刀口。这里就要求悍跳女巫的狼人在游戏过程中注意女巫在哪个轮此使用了解药。
2、报银水
这是女巫必须做的事情，无论是真的还是假的，都得报。当然这也自然成为了悍跳女巫必须做得事情，一定要记清女巫在哪一个轮此救的人，不要出现逻辑问题。
3、交代带队思路
既然起跳了女巫，那么救应该模仿女巫进入女巫带队的轮此。主要是阐述自己觉得谁是“狼人”，然后告诉大家按照你的思路去放逐，如果有反对的没有理由则会让其吃毒。
4、面对真女巫拍打
不要惧怕真的女巫拍打，真女巫起跳就是你悍跳她的目的，就算自己吃毒，夜间也可以将其毒死，何乐而不为。
总结：通常狼人悍跳女巫都是在收益有保障的前提下进行的，比如狼刀领先，需要找女巫。当悍跳女巫后的发言只需要模仿女巫的发言方式就OK。"
"狼人杀游戏中的""同救同守""是什么意思？","同救同守是
狼人杀
中一个专业属于，它的意思是在同一天晚上，当一名已经被守卫守护的玩家被狼人刀杀，女巫对其使用了解药，非但没能将其解救，反而让守卫的守护也失效，导致该玩家死亡。
因此，当有守卫的局，我们通常让女巫首夜开解药，而守卫首夜选择空守，将第一轮救人的任务交给女巫，避免出现同救同守的问题。这么做除了可以避免”医疗事故“发生，也能让女巫后续可以从容带毒起跳，也能让守卫后续守人更加灵活。"
"“有查杀走查杀”在狼人杀游戏中是什么意思？这么说的原因是什么？","我们在
狼人杀
游戏中经常会在首轮出现真假预言家对跳的时候，外置位有玩家在发言的时候会说“有查杀走查杀”，那么这句话是什么意思呢？这么说的依据在哪？
“有查杀走查杀”的原因就是找一个能让所有玩家接受的外置位玩家代替首轮出真假预言家的轮次，让真假预言家还有机会再次发言，让好人更加能清晰地分辨真假预言家。
1、“有查杀走查杀”的正确理解
“有查杀走查杀”常常会新手玩家认为要除掉对跳预言家报查验时候的查杀，其实这是一种错误的解读。真正的意思是当AB两个玩家都有狼面的时候，我们应该出掉其中还有被“预言家”查杀过的玩家。比如两个预言家XY对跳，其中Z是X的查杀，你站边X，那么X就是就是你心目中的预言家，自然Y是悍跳狼，Z是被查杀的狼人，此时，根据“有查杀走查杀”的原则，你应该先出Z。
2、“有查杀走查杀”的原因
（1）如上面所说的，为啥出Z呢？那是因为Z相对于XY来说更加好处，其中XY都有人站队，而Z相对于来说是独立的个体，没有任何人会在首轮的时候出来为了他拼命。首先如果X是真预言家，那么C一定是狼人；其次，如果X是悍跳狼，那么C也有可能是狼人，毕竟悍跳狼查杀狼队友的案例不少。从以上总结可以得出，当你站边X的时候，自然出Z是最合理的。
（2）还有一种原因就是考虑场上绝大多数玩家可以接受的程度。在人性角度来说，没有人愿意直接把天给捅破的，更多是愿意去折中。如果不是只能从真假预言家中出人的时候，必然会有人提议到外置位出人，这样无论到底谁是真预言家也不会得罪他，同时也不会因为自己的失误而出掉了真预。在真假预言家对跳的情况下，虽然说直接从真假预言家中出人是最直接，也是收益可能最高的方式，但如前面所说的有比较大的可能出到真预，因此伴随着收益也有非常大的风险。而外置位的Z既是X的查杀，出他，如果他是神职自然会跳出来反对或者阵亡带走查杀他的X；如果他是平民投错了也没啥影响；而如果是狼人，则好人赚大了。
（3）玩狼人杀游戏的大部分玩家都是抱着存活下去，获得最后胜利而玩的，因此在“有查杀走查杀""的选择存在，就算平民在首轮也会因为被查杀而选择不划水，这样能提升所有玩家参与游戏的积极性，减少划水概率。这也是这种”歪理“能继续存在的原因之一。
总结：“有查杀走查杀”的原因非常简单，就是找一个能让所有玩家接受的外置位玩家代替首轮出真假预言家的轮次，让真假预言家还有机会再次发言，让好人更加能清晰地分辨真假预言家。"
"在十二人局的狼人杀游戏中，如何有效地排狼坑？有哪些技巧和策略可以提高狼人杀的水平？","狼人杀
通常都是十二人局，它的排狼坑方式是没有一个非常固定的模式，只能是总结出来一些经验而非标准答案。首先我们要了解到444的铁逻辑，即4个好人、4个神职以及4个狼人；其次不同的玩家角度是不同的，比如预言家，自然要排除自己和已经查验的玩家；最后听取发言，无论是什么角色，都应该通过别人的发言来抿身份，进而排除狼坑。
就拿12个人，444的板子来说。这些444的信息是最铁的逻辑。试着在得到关键信息之后，不断地去盘坑，4狼坑，4神坑，4民坑。本人认为，对于新人来说，只要你学会盘坑，你的水平就会自动提高。由于坑位这东西是最大的隐形信息，它虽然没有告诉你谁是好人，狼人，但是这块板子给了你思考的界限，比如你把某人标狼，结果算出自己心中的5狼，那么你自己是否还得重新调整思考呢？
包括自己的身份信息，其实你只需要盘344，如果预言家和狼有对跳，那么你需要盘的数量还可以减少两个，只要减到最后，你就会发现剩下的人即使一句话也不说，他也跳不出身份。
如果从狼人的角度来分析坑位，那就更清楚更重要了。许多人看到高端玩家杀神，异常准，简直是膜拜，然后讲刀神能力如何强大。事实上，对狼人来说，面对4民4神，没有任何其他信息，也有50%的几率刀中神，所以第一刀神是很正常的。因此狼人找神只需从8中找到4个，但你作为一个好人找神，就是从11中找到4个。总而言之，好人千万不要去找神，首先是你的准确率不高，其次是你找神的行为，很容易被当作狼，导致被扛推。
最后，这些东西都是要听来判断的，不是凭空白来的。女巫一定要结合银水，刀口，每个人的发言来判断哪些是好人，然后再根据这个排狼坑。也许他会发现，如果狼预言家是预言家，再把他发的两个金水，自己的银水，自己认为的好人，剩下的人看上去不够三个坑，于是就倒着推他不是预言家，结果发现了这个问题。"
"狼狼大逃亡是怎样的一种狼人杀模式，有哪些角色和规则？","狼狼大逃亡的模式下，狼人会与好人站在一个阵营，而猎人则自成一个阵营，猎人将会将狼人当作目标进行消灭，而好人则需要保护狼人。整个板子由3个猎人，1个预言家，1个女巫，1个厚皮狼，2个狼人，2个村民合计10名玩家组成，其中预言家、女巫、村民的技能和玩法大体没啥变化，猎人和狼人阵营身份对调，预言家查验到猎人是查杀。好人阵营需要放逐所有猎人才能获胜，而坏人阵营则要杀光狼人。
一、狼狼大逃亡的故事背景
狼人在与村民的缠斗中被驯化成为了人类的伙伴，但猎人们仍旧保持着猎杀狼人的传统，为了保护仅存的狼人，村民开始了对抗猎人的行动。
二、狼狼大逃亡角色介绍
狼狼大逃亡中绝大部分的角色都与普通的板子角色类似，唯独不同的是猎人，同时加入了新的角色。
1、猎人（狼狼大逃亡模式）
每个夜晚可以猎杀一名玩家，当猎人死亡时，可以开枪击杀一名玩家，但当死于女巫毒药时，不能开枪。
2、厚皮狼
夜里被猎人击杀时，要多杀依次才能杀死（被毒杀、投票出局、白天被猎人开枪击杀情况除外）。
三、流程以及胜利条件
1、流程
①夜晚
◆猎人选择要袭击的玩家。
◆预言家查验身份。
◆女巫救/毒一名玩家。
②白天
天亮后，幸存者按顺序轮流发言，根据发言找出猎人，进行投票处决。
2、胜利条件
①猎人胜利条件
所有狼人出局即可获得胜利。
②好人胜利条件
所有猎人出局即可获得胜利。
四、狼狼大逃亡各角色玩法要点
1、厚皮狼
厚皮狼白天应该低调隐藏自己的身份，并在游戏中尽力帮助女巫或者狼人挡刀，拯救好人玩家。
2、预言家
预言家的玩家和普通的板子类似，只是查验的角色进行了改变。预言家应该在首轮就将查验的信息报出，当查到猎人即为查杀，让好人队友直接将其票出局。
3、女巫
女巫在狼狼大逃亡板子中应该隐藏自己的身份，避免自己成为焦点牌。而后在暗中观察并找出猎人和狼人，用解药解救狼人，用毒药毒杀猎人。
4、猎人
猎人应该重点去关注狼人和女巫，小心不要被女巫毒杀，并在游戏中找到狼人并将其杀死。猎人对待普通狼人和厚皮狼要有不同的策略，由于厚皮狼夜间需要杀两次，所以尽量通过白天出局的时候发动技能将厚皮狼精准带走。
以上便是狼人杀特殊板子——狼狼大逃亡的玩法攻略，如果有喜欢玩特殊板子的狼人杀爱好者，狼狼大逃亡绝对是一个不错的尝试。"
